Time, Cpu(14527:infravisor-pod)\% Used, Cpu(489231:infravisor-pod)\% Used,(14527:infravisor-pod)\Memory Consumed Size MBytes,(489231:infravisor-pod)\Memory Consumed Size MBytes,Network-LCCP(Transmitted),Network-LCCP(Received),Network-EC CP(Transmitted),Network-EC CP(Received)
05/08/24 11:23,14,44.29,5111.39,2045.99,0,0,10000,2000
05/08/24 11:23,11.85,34.05,5111.39,2045.99,0,0,14000,3000
05/08/24 11:23,13.67,69.53,5111.39,2045.99,0,0,16000,1000
05/08/24 11:23,21.23,33.43,5111.39,2045.99,0,0,12000,2000
05/08/24 11:23,18.4,35.72,5111.39,2045.99,0,0,13000,3000
05/08/24 11:24,14.36,38.14,5111.39,2045.99,0,0,16500,1000
05/08/24 11:24,13.11,41.11,5111.39,2045.99,0,0,10000,2000
05/08/24 11:24,13.32,37.9,5111.39,2045.99,0,0,14000,3000
05/08/24 11:24,291.96,24.68,5111.39,2045.99,0,0,16000,1000
05/08/24 11:24,158.95,29.64,5111.39,2045.99,0,0,10000,2000
05/08/24 11:24,83.3,36,5111.39,2045.99,0,0,14000,3000
05/08/24 11:24,18.75,39.2,5111.39,2045.99,0,0,16000,1000
05/08/24 11:24,10.55,40.63,5111.39,2045.99,0,0,11000,2000
05/08/24 11:24,12.5,39.53,5111.39,2045.99,0,0,14000,3000
05/08/24 11:24,24.96,51.59,5111.39,2045.99,0,0,16623,1000
05/08/24 11:24,26.42,50.56,5111.39,2045.99,0,0,10223,2000
05/08/24 11:24,12.53,35.83,5111.39,2045.99,0,0,14000,3000
05/08/24 11:24,12.44,37.1,5111.39,2045.99,0,0,16000,1000
05/08/24 11:24,12.66,36.81,5111.39,2045.99,0,0,10000,2000
05/08/24 11:24,14.66,60.83,5111.39,2045.99,0,0,14000,3000
05/08/24 11:24,10.98,23.1,5111.39,2045.99,0,0,16000,1000
05/08/24 11:24,12.64,38.16,5111.39,2045.99,0,0,10000,2000
05/08/24 11:24,5.18,4.08,5111.39,2045.99,0,0,14000,3000
05/08/24 11:24,10.43,25.15,5111.39,2045.99,0,0,16000,1000
05/08/24 11:24,12.78,28.1,5111.39,2045.99,0,0,10000,2000
05/08/24 11:24,13.73,32.02,5111.39,2045.99,0,0,14000,3000
05/08/24 11:24,13.26,22.11,5111.39,2045.99,0,0,16000,1000
05/08/24 11:24,8.66,25.25,5111.39,2045.99,0,0,10000,2000
